CountryID,CountryName,CountryDescription
1,Afghanistan,
2,Albania,
3,Algeria,
4,Andorra,
5,Angola,
6,Anguilla,
7,Antigua & Barbuda,
8,Argentina,
9,Armenia,
10,Australia,
11,Austria,
12,Azerbaijan,
13,Bahamas,
14,Bahrain,
15,Bangladesh,
16,Barbados,
17,Belarus,
18,Belgium,
19,Belize,
20,Benin,
21,Bermuda,
22,Bhutan,
23,Bolivia,
24,Bosnia & Herzegovina,
25,Botswana,
26,Brazil,
27,Brunei Darussalam,
28,Bulgaria,
29,Burkina Faso,
30,Myanmar/Burma,
31,Burundi,
32,Cambodia,
33,Cameroon,
34,Canada,
35,Cape Verde,
36,Cayman Islands,
37,Central African Republic,
38,Chad,
39,Chile,
40,China,
41,Colombia,
42,Comoros,
43,Congo,
44,Costa Rica,
45,Croatia,
46,Cuba,
47,Cyprus,
48,Czech Republic,
49,Democratic Republic of the Congo,
50,Denmark,
51,Djibouti,
52,Dominican Republic,
53,Dominica,
54,Ecuador,
55,Egypt,
56,El Salvador,
57,Equatorial Guinea,
58,Eritrea,
59,Estonia,
60,Ethiopia,
61,Fiji,
62,Finland,
63,France,
64,French Guiana,
65,Gabon,
66,Gambia,
67,Georgia,
68,Germany,
69,Ghana,
70,Great Britain,
71,Greece,
72,Grenada,
73,Guadeloupe,
74,Guatemala,
75,Guinea,
76,Guinea-Bissau,
77,Guyana,
78,Haiti,
79,Honduras,
80,Hungary,
81,Iceland,
82,India,
83,Indonesia,
84,Iran,
85,Iraq,
86,Israel and the Occupied Territories,
87,Italy,
88,Ivory Coast (Cote d'Ivoire),
89,Jamaica,
90,Japan,
91,Jordan,
92,Kazakhstan,
93,Kenya,
94,Kosovo,
95,Kuwait,
96,Kyrgyz Republic (Kyrgyzstan),
97,Laos,
98,Latvia,
99,Lebanon,
100,Lesotho,
101,Liberia,
102,Libya,
103,Liechtenstein,
104,Lithuania,
105,Luxembourg,
106,Republic of Macedonia,
107,Madagascar,
108,Malawi,
109,Malaysia,
110,Maldives,
111,Mali,
112,Malta,
113,Martinique,
114,Mauritania,
115,Mauritius,
116,Mayotte,
117,Mexico,
118,"Moldova, Republic of",
119,Monaco,
120,Mongolia,
121,Montenegro,
122,Montserrat,
123,Morocco,
124,Mozambique,
125,Namibia,
126,Nepal,
127,Netherlands,
128,New Zealand,
129,Nicaragua,
130,Niger,
131,Nigeria,
132,"Korea, Democratic Republic of (North Korea)",
133,Norway,
134,Oman,
135,Pacific Islands,
136,Pakistan,
137,Panama,
138,Papua New Guinea,
139,Paraguay,
140,Peru,
141,Philippines,
142,Poland,
143,Portugal,
144,Puerto Rico,
145,Qatar,
146,Reunion,
147,Romania,
148,Russian Federation,
149,Rwanda,
150,Saint Kitts and Nevis,
151,Saint Lucia,
152,Saint Vincent's & Grenadines,
153,Samoa,
154,Sao Tome and Principe,
155,Saudi Arabia,
156,Senegal,
157,Serbia,
158,Seychelles,
159,Sierra Leone,
160,Singapore,
161,Slovak Republic (Slovakia),
162,Slovenia,
163,Solomon Islands,
164,Somalia,
165,South Africa,
166,"Korea, Republic of (South Korea)",
167,South Sudan,
168,Spain,
169,Sri Lanka,
170,Sudan,
171,Suriname,
172,Swaziland,
173,Sweden,
174,Switzerland,
175,Syria,
176,Tajikistan,
177,Tanzania,
178,Thailand,
179,Timor Leste,
180,Togo,
181,Trinidad & Tobago,
182,Tunisia,
183,Turkey,
184,Turkmenistan,
185,Turks & Caicos Islands,
186,Uganda,
187,Ukraine,
188,United Arab Emirates,
189,United States of America (USA),
190,Uruguay,
191,Uzbekistan,
192,Venezuela,
193,Vietnam,
194,Virgin Islands (UK),
195,Virgin Islands (US),
196,Yemen,
197,Zambia,
198,Zimbabwe,
